price,title,productId,amount,productPictureUrls,unit,categoryName
104.95,جبنة رومي كفيار,130000,1,https://firebasestorage.googleapis.com/v0/b/ecommerce-55b58.appspot.com/o/Products%2F130001%2F130001.jfif?alt=media&token=d8e32727-6c2f-42d6-acc0-df967d04bf0c,كيلو,جبن
149.99,جبنة فلامنك فريكو,130001,1,https://firebasestorage.googleapis.com/v0/b/ecommerce-55b58.appspot.com/o/Products%2F130002%2F130002.jfif?alt=media&token=d8e32727-6c2f-42d6-acc0-df967d04bf0c,كيلو,جبن
8.5,ارز حبة حبة بالكيلو,130002,1,https://firebasestorage.googleapis.com/v0/b/ecommerce-55b58.appspot.com/o/Products%2F130003%2F130003.jfif?alt=media&token=d8e32727-6c2f-42d6-acc0-df967d04bf0c,كيلو,بقوليات
19.9,ارز تايلاندي حبة حبة ,130003,1,https://firebasestorage.googleapis.com/v0/b/ecommerce-55b58.appspot.com/o/Products%2F130004%2F130004.jfif?alt=media&token=d8e32727-6c2f-42d6-acc0-df967d04bf0c,كيلو,بقوليات
24.99,ارز هندي حبة حبة ,130004,1,https://firebasestorage.googleapis.com/v0/b/ecommerce-55b58.appspot.com/o/Products%2F130005%2F130005.jfif?alt=media&token=d8e32727-6c2f-42d6-acc0-df967d04bf0c,كيلو,بقوليات
17.99,عدس اصفر حبة حبة ,130005,1,https://firebasestorage.googleapis.com/v0/b/ecommerce-55b58.appspot.com/o/Products%2F130006%2F130006.jfif?alt=media&token=d8e32727-6c2f-42d6-acc0-df967d04bf0c,كيلو,بقوليات
13.95,عدس بجبة حبة حبة ,130006,1,https://firebasestorage.googleapis.com/v0/b/ecommerce-55b58.appspot.com/o/Products%2F130007%2F130007.jfif?alt=media&token=d8e32727-6c2f-42d6-acc0-df967d04bf0c,كيلو,بقوليات
14.99,حمص حبة حبة ,130007,1,https://firebasestorage.googleapis.com/v0/b/ecommerce-55b58.appspot.com/o/Products%2F130008%2F130008.jfif?alt=media&token=d8e32727-6c2f-42d6-acc0-df967d04bf0c,كيلو,بقوليات وحبوب
19.95,لوبيا حبة حبة  ,130008,1,https://firebasestorage.googleapis.com/v0/b/ecommerce-55b58.appspot.com/o/Products%2F130009%2F130009.jfif?alt=media&token=d8e32727-6c2f-42d6-acc0-df967d04bf0c,كيلو,بقوليات وحبوب
15.99,ذرة فيشار حبة حبة  ,130009,1,https://firebasestorage.googleapis.com/v0/b/ecommerce-55b58.appspot.com/o/Products%2F130010%2F130010.jfif?alt=media&token=d8e32727-6c2f-42d6-acc0-df967d04bf0c,كيلو,بقوليات وحبوب
15.99,مدشوش حبة و حبة ,130010,1,https://firebasestorage.googleapis.com/v0/b/ecommerce-55b58.appspot.com/o/Products%2F130011%2F130011.jfif?alt=media&token=d8e32727-6c2f-42d6-acc0-df967d04bf0c,كيلو,بقوليات وحبوب
21.99,فاصوليا حبة حبة  ,130011,1,https://firebasestorage.googleapis.com/v0/b/ecommerce-55b58.appspot.com/o/Products%2F130012%2F130012.jfif?alt=media&token=d8e32727-6c2f-42d6-acc0-df967d04bf0c,كيلو,بقوليات وحبوب
29.95,شطة حار,130012,1,https://firebasestorage.googleapis.com/v0/b/ecommerce-55b58.appspot.com/o/Products%2F130013%2F130013.jfif?alt=media&token=d8e32727-6c2f-42d6-acc0-df967d04bf0c,كيلو,عطارة وتوابل
17.95,حلبة بلدي,130013,1,https://firebasestorage.googleapis.com/v0/b/ecommerce-55b58.appspot.com/o/Products%2F130014%2F130014.jfif?alt=media&token=d8e32727-6c2f-42d6-acc0-df967d04bf0c,كيلو,عطارة وتوابل
89.99,كركدية سوداني,130014,1,https://firebasestorage.googleapis.com/v0/b/ecommerce-55b58.appspot.com/o/Products%2F130015%2F130015.jfif?alt=media&token=d8e32727-6c2f-42d6-acc0-df967d04bf0c,كيلو,عطارة
71.99,حبة البركة,130015,1,https://firebasestorage.googleapis.com/v0/b/ecommerce-55b58.appspot.com/o/Products%2F130016%2F130016.jfif?alt=media&token=d8e32727-6c2f-42d6-acc0-df967d04bf0c,كيلو,عطارة
57.95,ينسون ,130016,1,https://firebasestorage.googleapis.com/v0/b/ecommerce-55b58.appspot.com/o/Products%2F130017%2F130017.jfif?alt=media&token=d8e32727-6c2f-42d6-acc0-df967d04bf0c,كيلو,عطارة
37.95,كراوية,130017,1,https://firebasestorage.googleapis.com/v0/b/ecommerce-55b58.appspot.com/o/Products%2F130018%2F130018.jfif?alt=media&token=d8e32727-6c2f-42d6-acc0-df967d04bf0c,كيلو,عطارة
